city_code,city,week,new case,growth rate,Wuhan flow,Wuhan flow_lag,Hubei/non-Wuhan flow,Hubei/non Wuhan flow_lag,non-Hubei flow,non-Hubei flow_lag,City internal flow index,City internal flow index_lag,City internal flow,City internal flow_lag,Doctors,COVID-19 Hospitals,Hospitals,Beds,Outpatients,Population,Density,GDP,Income,Aging,Highest Temperature,Lowest Temperature,Average Temperature,Relative Humidity,Absolute Humidity,ILI
330700,Jinhua,1,1,26,5652.346947,5892.813962,933.2052723,1713.051331,15873.03,17754.92229,3.475242857,4.829757143,17974.87659,69650.46134,16372,8,131,26814,2697.817083,556.4,466,4100.2,7.369158879,12.9863503,12,6,9,86,7.579995291,0.060174769
330800,Quzhou,1,2,5,2636.671534,2244.42305,217.4515571,6.171878636,12957.3,11353.42286,5.9317,5.959757143,82329.6027,84672.24639,6930,7,75,11621,1059.441108,218.5,251,1470.58,6.730343249,12.9863503,12.14285714,6.142857143,9.142857143,86.57142857,7.700338708,0.045798119
330900,Zhoushan,1,1,6,742.4940019,919.5572414,0,0,3666.546,3479.112,4.631271429,5.450071429,11988.87601,27188.09572,3581,5,30,5056,566.3282447,116.8,751,1316.7,11.27311644,12.9863503,9,1.714285714,5.357142857,78.57142857,5.466991756,0.063772754
331000,Taizhou,1,18,3.5,6956.415981,5181.766041,2541.219222,2261.228148,14918.04,11581.19486,4.340642857,5.301528571,46959.85133,122753.5546,17235,11,111,24955,2966.435103,611.8,569,4874.67,7.967750899,12.9863503,12.42857143,6.714285714,9.571428571,82.35714286,7.528407454,0.02069206
340100,Hefei,1,6,7.33,18810.16231,23389.15247,10044.27244,12460.98165,40243.716,34765.80171,5.023928571,5.7256,122928.3066,247961.3138,20964,10,172,42707,1342.547127,808.7,698,7822.91,9.673438852,13.20157492,8.428571429,4.285714286,6.357142857,77.64285714,5.768740737,0
340300,Bengbu,1,1,14,3722.281235,2682.123018,35.36867807,0,20144.7,12119.68286,6.588928571,5.555385714,246598.9162,87726.17708,6297,5,81,15289,563.1160944,339.2,539,1714.66,5.055011792,13.20157492,8.857142857,2.857142857,5.857142857,74.92857143,5.387763528,0
340800,Anqing,1,1,23,29921.461,17931.73431,29346.13037,17561.71967,27447.768,16931.268,7.193557143,5.983128571,624291.7638,186082.3389,8638,8,69,15530,778.7669808,469.1,363,1917.6,4.087827755,13.20157492,9.142857143,3,6.071428571,76.64285714,5.588992974,0
341100,Chuzhou,1,1,3,4432.763289,3217.616998,2.987369686,0,28604.394,15867.85371,6.049442857,5.498828571,174382.9173,100548.4066,6625,7,64,13721,682.9774801,411.4,304,1801.7,4.379436072,13.20157492,8.428571429,3.285714286,5.857142857,77.5,5.572662943,0
341200,Fuyang,1,2,18,22392.53238,13238.73394,14059.4957,6975.527136,48065.562,29257.848,7.680871429,6.078157143,1778052.218,358009.4915,13915,9,115,28433,1362.468687,820.7,826,1759.5,2.143901547,13.20157492,8.142857143,2.714285714,5.428571429,74.35714286,5.198160632,0
341500,Liuan,1,2,3.5,6228.584726,8865.959025,9994.760832,7848.113504,28213.218,16176.94971,6.703071429,5.659971429,394169.5039,138889.8301,9062,5,29,12302,803.0048788,483.7,331,1288.1,2.663014265,13.20157492,7.857142857,2.285714286,5.071428571,77.64285714,5.301518135,0
341600,Bozhou,1,1,19,6916.420366,4469.768696,1031.596379,316.1688114,33362.874,19707.624,8.045357143,6.120242857,1633566.377,238270.4992,6397,6,62,12545,869.4100786,523.7,598,1277.19,2.438781745,13.20157492,9,3.142857143,6.071428571,68.78571429,5.016030041,0
341700,Chizhou,1,1,3,3662.729088,2320.062392,139.6796409,284.4325427,8904.6,5642.043429,6.191057143,5.599157143,71984.57384,39827.26961,2932,5,30,5188,244.7031613,147.4,170,684.9,4.646540027,13.20157492,9.142857143,2.142857143,5.642857143,81.85714286,5.803714494,0
350100,Fuzhou,1,4,7,9850.010142,9282.210553,12680.69763,9211.935292,19047.312,18093.40971,4.2199,4.930114286,52652.65131,107117.9839,20417,10,116,30152,1925.946105,774,585,7856.81,10.15091731,9.486520784,16.57142857,10.42857143,13.5,81.5,9.528754978,0.017313683
350200,Xiamen,1,3,3.33,8704.169817,3894.427033,84.57874103,928.9092134,17981.784,20448.10286,4.1073,5.565071429,24981.55957,107330.1249,12705,1,51,14106,1022.692312,411,2138,4791.41,11.65793187,9.486520784,17.28571429,12.85714286,15.07142857,77.85714286,10.02282929,0.040594489
350500,Quanzhou,1,1,21,12597.30929,5130.912625,3691.63696,5074.852524,24242.544,17787.18343,3.859757143,4.557042857,41284.82816,82912.0817,15903,12,130,25633,2164.823141,870,723,8467.97,9.733298851,9.486520784,19,11.71428571,15.35714286,74.28571429,9.730683525,0.033014187
350900,Ningde,1,1,8,2532.896159,2032.070303,360.4885587,2787.819949,11700.396,7912.681714,4.629185714,4.719814286,29807.3111,32634.9002,5455,11,44,10333,724.0960162,291,210,1942.8,6.67628866,9.486520784,14,7.857142857,10.92857143,87.71428571,8.737313723,0.084381433
360100,Nanchang,1,2,32.5,26906.69495,23059.53686,13948.42333,14622.71598,26502.39,22577.89371,4.801828571,5.168457143,63790.42773,92040.77776,14143,7,118,27302,762.0474495,524.02,616,5274.67,10.06577993,9.734768908,11.85714286,6.285714286,9.071428571,78.21428571,6.925314897,0.014202139
360300,Pingxiang,1,1,7,3221.052584,2165.340237,0,0,7472.79,4899.666857,5.445014286,5.1445,43772.5112,32410.80115,4433,6,32,8025,274.8501354,189,481,1009.05,5.338888889,9.734768908,8.285714286,3.714285714,6,88.5,6.423515056,0.007101841
360400,Jiujiang,1,1,41,31110.1083,23721.8712,106519.3413,78930.24727,24336.72,17929.836,6.297685714,5.480414286,261165.1607,115339.6875,10027,11,62,16363,699.035511,480.69,251,2700.19,5.617320934,9.734768908,9.714285714,5.142857143,7.428571429,77.5,6.173802504,0.006936102
360500,Xinyu,1,1,27,2115.49018,1566.557926,481.4330294,506.1003569,5075.352,3781.496571,5.878642857,5.625271429,41478.16676,32194.50411,4201,2,14,4402,168.8074271,116.08,354,1027.34,8.850275672,9.734768908,11,7,9,84.07142857,7.410012008,0.018893363
360800,Gian,1,1,7,8602.491058,5595.291687,4866.994552,2895.075384,24576.858,14287.01143,6.291457143,5.269171429,259543.5304,93376.4079,8028,42,57,15044,699.035511,480.69,188,1742.23,3.624435707,9.734768908,12.85714286,6.285714286,9.571428571,81.42857143,7.44352515,0.059340546
361000,Fuzhou,1,1,14,9416.28387,7138.298881,1922.817611,582.2185111,20087.838,12637.99029,6.764457143,5.439514286,344570.6788,91593.13977,5528,23,48,9830,578.2905018,397.66,205,1382.4,3.476336569,9.734768908,11.85714286,8.142857143,10,83.14285714,7.810018016,0.008350337
410100,Zhengzhou,1,5,9,27794.89348,34657.00025,20084.23148,26972.29186,48924.972,59615.12057,4.732014286,5.864142857,112173.0664,347989.2141,38049,60,219,79725,1900.858602,988.1,977,10143.3,10.26545896,11.05504645,9.142857143,3.142857143,6.142857143,54.07142857,3.961511534,0.019787355
410300,Luoyang,1,1,2,6020.159309,5843.980829,6425.53506,6333.672575,19968.66,15847.34914,5.552971429,5.471485714,176035.485,162259.9825,17586,50,142,35734,1312.575473,682.3,416,4640.7,6.801553569,11.05504645,8.571428571,1.285714286,4.928571429,56.35714286,3.811956397,0.045178229
