Week,City Code,City,New Cases,non-Hubei flow,Wuhan flow(Previous week),Relative Humidity,Hospitals,,,,,,
2,130800,Chengde,2,-1.2,-17.58,0.58,-7.04,-1.92,,,,,
2,130900,Cangzhou,17,-1.16,-14.83,0.14,-5.71,-0.95,,,,,
2,131000,Langfang,9,4.82,-20.83,0.56,-6.46,3.27,,,,,
2,131100,Hengshui,4,-1.19,-17.24,-0.13,-5.85,-0.92,,,,,
2,140100,Taiyuan,3,4.52,-19.74,1.23,-6.31,-1.02,,,,,
2,140200,Datong,5,-1.2,-17.6,0.61,-7.06,-1.92,,,,,
2,140300,Yangquan,1,4.56,-21.21,0.68,-6.91,-1.86,,,,,
2,140400,Changzhi,3,-1.1,-17.58,0.61,-7.08,-1.98,,,,,
2,140600,Shuozhou,3,1.53,-17.99,1.22,-7.26,-1.98,,,,,
2,140700,Jinzhong,9,1.17,-15.58,1.22,-6.91,-1.98,,,,,
2,140800,Yuncheng,8,-1.19,-15.31,-0.26,-6.09,-1.94,,,,,
2,141000,Linfen,1,-1.2,-17.58,-0.14,-6.32,-1.92,,,,,
2,141100,Luliang,5,-1.2,-17.58,0.58,-7.04,-1.92,,,,,
2,150100,Hohhot,2,1.53,-17.56,0.58,-7.06,-1.98,,,,,
2,150200,Baotou,3,-1.2,-17.58,-0.14,-6.32,-1.92,,,,,
2,150400,Chifeng,2,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,150500,Tongliao,1,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,150600,Ordos,3,-1.1,-17.58,0.61,-7.08,-1.98,,,,,
2,150700,Hulunbuir,1,-1.2,-18.02,1.23,-7.25,-1.92,,,,,
2,150800,Bayannur,2,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,150900,Wulanchabu,2,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,152500,Xilinguole,2,0.88,-17.83,-0.71,-7,-1.82,,,,,
2,210100,Shenyang,8,-1.4,-16,-0.1,-5.71,2.84,,,,,
2,210200,Dalian,6,-1.2,-16.9,-0.14,-5.74,-1.31,,,,,
2,210500,Benxi,3,4.46,-21.28,1.22,-6.91,-1.98,,,,,
2,210600,Dandong,5,-1.2,-17.58,0.58,-7.04,-1.92,,,,,
2,210700,Jinzhou,4,-1.2,-17.58,0.58,-7.04,-1.92,,,,,
2,210800,Yingkou,1,-1.2,-17.47,-0.14,-5.86,-2.49,,,,,
2,211000,Liaoyang,1,-1.2,-18.02,1.23,-7,-2.17,,,,,
2,211100,Panjin,3,1.17,-17.43,0.61,-6.85,-1.98,,,,,
2,211200,Tieling,2,-1.59,-17.59,0.58,-7.04,-1.92,,,,,
2,211300,Chaoyang,4,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,211400,Huludao,4,-1.2,-17.58,-0.14,-6.32,-1.92,,,,,
2,220100,Changchun,2,-1.2,-17.09,-0.14,-5.96,-2.17,,,,,
2,220200,Jilin,2,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,220300,Siping,1,-1.59,-17.6,0.61,-7.06,-1.92,,,,,
2,220500,Tonghua,1,-1.1,-18,1.23,-7.28,-1.98,,,,,
2,220700,Songyuan,1,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,222400,Yanbian,2,-1.2,-18.02,1.23,-7.25,-1.92,,,,,
2,230100,Harbin,17,-1.58,-14.49,-0.41,-6.2,-1.92,,,,,
2,230300,Jixi,2,-1.4,-17.97,0.41,-7.3,-1.92,,,,,
2,230400,Hegang,1,-1.4,-17.98,-0.71,-7.24,-1.82,,,,,
2,230500,Shuangyashan,1,1.24,-17.96,0.41,-7.29,-1.92,,,,,
2,230600,Daqing,6,-1.2,-17.58,-0.14,-6.32,-1.92,,,,,
2,230800,Jiamusi,8,-1.09,-17.82,0.83,-7.08,-1.98,,,,,
2,230900,Qitaihe,3,4.59,-21.28,1.22,-7.04,-1.98,,,,,
2,231000,Mudanjiang,1,-1.2,-18.02,1.23,-7.25,-1.92,,,,,
2,231200,Suihua,11,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,232700,Daxinganling,2,-1.11,-21.21,0.02,-5.89,-1.68,,,,,
2,310000,Shanghai,108,-0.65,20.1,0.19,12.26,24.08,,,,,
2,320100,Nanjing,22,-0.96,-16.85,-0.49,-2.27,12.15,,,,,
2,320200,Wuxi,11,-0.96,-15.78,-0.49,-3.59,12.15,,,,,
2,320300,Xuzhou,20,-1.75,-13.42,-0.76,-4.57,2.37,,,,,
2,320400,Changzhou,13,4.6,-20.17,0.55,-6.55,2.36,,,,,
2,320500,Suzhou,30,0.67,-14.82,-0.76,7.89,12.18,,,,,
2,320600,Nantong,9,-1.56,-14.12,-0.35,-6.19,0.91,,,,,
2,320700,Lianyungang,8,-1.79,-16.7,-0.1,-5.72,2.84,,,,,
2,320800,Huaian,10,-1.56,-17.24,0.21,-5.84,-0.92,,,,,
2,320900,Yancheng,8,-1.9,-15.12,0.04,-5.74,-2.49,,,,,
2,321000,Yangzhou,7,-1.39,-15.15,-0.74,-3.49,3.45,,,,,
2,321100,Zhenjiang,2,1.3,-17.62,1.28,-6.84,1.6,,,,,
2,321200,Taizhou,12,-1.78,-14.8,-0.2,-5.89,2.39,,,,,
2,321300,Suqian,7,-1.56,-17.24,0.25,-5.84,-0.95,,,,,
2,330100,Hangzhou,79,1.58,-16.71,1.94,15.84,-0.91,,,,,
2,330200,Ningbo,41,1.86,-16.63,3.06,-2,3.91,,,,,
2,330300,Wenzhou,221,2.06,50,40.75,9.99,7.49,,,,,
2,330400,Jiaxing,13,4.5,-21.02,-0.39,-7,2.95,,,,,
2,330500,Huzhou,6,4.51,-20.87,-0.59,-6.37,-0.95,,,,,
2,330600,Shaoxing,22,1.32,-17.11,1.26,-6.43,2.57,,,,,
2,330700,Jinhua,26,4.67,-18.89,1.5,-1.5,-0.67,,,,,
2,330800,Quzhou,10,1.54,-17.56,-0.26,-6.23,-2,,,,,
2,330900,Zhoushan,6,-0.85,-20.84,-0.36,-5.59,2.68,,,,,
2,331000,Taizhou,63,1.51,-13.11,4.26,-0.36,3.26,,,,,
2,331100,Lishui,7,4.75,-21.2,0.78,-6.94,-1.86,,,,,
2,340100,Hefei,44,-1.4,14.93,-0.77,0.52,2.65,,,,,
2,340200,Wuhu,14,-1.38,-14.33,-1.01,-3.49,3.45,,,,,
2,340300,Bengbu,14,-1.56,-16.74,0.25,-5.73,-0.95,,,,,
2,340400,Huainan,6,-1.57,-16.72,-0.08,-6.21,0.91,,,,,
2,340500,Maanshan,14,-0.77,-16.01,0.62,-6.64,2.84,,,,,
2,340600,Huaibei,2,-1.4,-17.21,-0.1,-6.02,2.39,,,,,
2,340700,Tongling,14,-1.4,-16.01,-0.1,-5.8,3.48,,,,,
2,340800,Anqing,23,-2.12,12.24,-6.3,6.91,-4.11,,,,,
2,341000,Huangshan,9,1.17,-17.42,0.58,-6.83,-1.98,,,,,
2,341100,Chuzhou,3,-1.59,-16.39,-0.14,-6.2,-1.92,,,,,
2,341200,Fuyang,36,-2.04,12.3,-6.26,7.9,1.01,,,,,
2,341300,Suzhou,10,-2.09,-13.21,-3.16,-5.75,2.84,,,,,
2,341500,Liuan,7,-1.96,-13.81,-1.29,-2.86,-1.97,,,,,
2,341600,Bozhou,19,-2.08,-13.45,-3.81,-3.49,2.86,,,,,
2,341700,Chizhou,3,-1.2,-17.08,0.58,-6.93,-1.92,,,,,
2,341800,Xuancheng,4,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
